Nro.,Vehículo,Odómetro,Horómetro,Fecha,Tanqueo Full,Costo por Volumen,Cant.,Unidad,Costo Total,Tipo,
3,"106",437000,,"09/abr./2024 18:12:00","S","25,49","58,85","Litros","1500","DIESEL",
62,"106",436991,,"09/abr./2024 18:07:00","N","25,49","56,81","Litros","1448","DIESEL",
11,"107",1088344,,"09/abr./2024 16:39:00","S","24,98","116,78","Litros","2917,16","DIESEL",
21,"105",469956,,"09/abr./2024 11:16:00","S","24,99","130","Litros","3248,7","DIESEL",
34,"109",532897,,"09/abr./2024 9:43:00","S","24,99","388,17","Litros","9700,37","DIESEL",
10,"107",1087909,,"08/abr./2024 21:44:00","S","24,98","125,88","Litros","3144,48","DIESEL",
15,"103",752321,4,,"08/abr./2024 20:19:00","S","25,12","224,01","Litros","5627,03","DIESEL",
19,"104",1007322,,"08/abr./2024 15:22:00","S","24,79","160","Litros","3966,4","DIESEL",
23,"106",436624,,"08/abr./2024 15:08:00","S","24,79","90","Litros","2231,1","DIESEL",
61,"103",751589,47,,"08/abr./2024 11:48:00","S","24,99","120,05","Litros","3000","DIESEL",
